Entity,Code,Date,"Excess_mortality_P-scores,_ages_15-64","Excess_mortality_P-scores,_ages_65-74","Excess_mortality_P-scores,_ages_75-84","Excess_mortality_P-scores,_ages_85+"
Czech Republic,CZE,5/24/2020,-14.31,-4.62,2.26,-2.79
Czech Republic,CZE,5/31/2020,-23.3,2.73,-12.28,5.53
Czech Republic,CZE,6/7/2020,-7.4,12.21,22.23,5.07
Czech Republic,CZE,6/14/2020,-8.24,0.21,9.19,1.42
Czech Republic,CZE,6/21/2020,-0.44,7.72,5.21,2.79
Czech Republic,CZE,6/28/2020,-4.23,6.25,10.97,7.69
Czech Republic,CZE,7/5/2020,-0.87,5.46,7.55,10.02
Czech Republic,CZE,7/12/2020,-6.91,-1.13,6.03,0.62
Czech Republic,CZE,7/19/2020,-10.59,8.01,0.07,-1.95
Czech Republic,CZE,7/26/2020,4.16,0.24,2.81,3.25
Czech Republic,CZE,8/2/2020,2.7,5.49,14.11,11.46
Czech Republic,CZE,8/9/2020,-4.71,7.4,16.72,3.12
Czech Republic,CZE,8/16/2020,0.44,11.89,7.28,2.92
Czech Republic,CZE,8/23/2020,5.62,5.47,8.46,5.88
Czech Republic,CZE,8/30/2020,-7.9,-1.48,8.66,9.73
Czech Republic,CZE,9/6/2020,-3.86,7.45,6.09,1.19
Czech Republic,CZE,9/13/2020,-11.17,8.18,13.79,6.87
Czech Republic,CZE,9/20/2020,-3.59,2.79,25.49,14.07
Czech Republic,CZE,9/27/2020,2.29,10.46,25.47,24.87
Czech Republic,CZE,10/4/2020,-0.94,9.62,24.12,11.71
Czech Republic,CZE,10/11/2020,0,28.56,35.3,17.92
Czech Republic,CZE,10/18/2020,10.09,39.05,48.33,49.41
Denmark,DNK,1/5/2020,-12.4,3.86,-2.22,3.62
Denmark,DNK,1/12/2020,-0.24,2.75,1.55,7.21
Denmark,DNK,1/19/2020,-15.16,-2.58,0.56,-1.51
Denmark,DNK,1/26/2020,-14.37,-7.72,-3.56,-5.43
Denmark,DNK,2/2/2020,6.12,-13.92,2.05,-11.14
Denmark,DNK,2/9/2020,-7.19,-14.6,8.57,-10.12
Denmark,DNK,2/16/2020,-20.42,-7.82,-2.69,-10.53
Denmark,DNK,2/23/2020,3.18,-11.52,-12.39,-12.59
Denmark,DNK,3/1/2020,-23.35,-5.78,-13.3,-13.35
Denmark,DNK,3/8/2020,-12.74,-16.32,-1.48,-9.82
Denmark,DNK,3/15/2020,-11.1,3.51,-4.23,-15.87
Denmark,DNK,3/22/2020,-14.98,3.29,14.24,-2.18
Denmark,DNK,3/29/2020,-22.2,8.89,6.75,7.01
